idTree,dateObservation,presenceMarceno,oldLeavesMarceno,newLeavesMarceno,fruitDamageMarceno
avocado_25,2022-12-02,0,NA,NA,NA
avocado_26,2022-12-02,0,ME,NA,NA
avocado_27,2022-12-02,0,ME,NA,ME
avocado_28,2022-12-02,0,ME,NA,NA
avocado_29,2022-12-02,0,NA,NA,NA
avocado_30,2022-12-02,0,NA,NA,ME
avocado_01,2023-03-18,1,BA,ME,BA
avocado_02,2023-03-18,1,BA,ME,NA
avocado_03,2023-03-18,1,BA,ME,BA
avocado_04,2023-03-18,1,BA,ME,BA
avocado_05,2023-03-18,1,BA,BA,BA
avocado_06,2023-03-18,1,BA,ME,BA
avocado_07,2023-03-18,1,BA,BA,NA
avocado_08,2023-03-18,1,BA,BA,ME
avocado_09,2023-03-18,1,BA,BA,BA
avocado_10,2023-03-18,1,BA,BA,NA
avocado_11,2023-03-18,1,BA,BA,ME
avocado_12,2023-03-18,1,BA,ME,NA
avocado_13,2023-03-18,1,BA,ME,NA
avocado_14,2023-03-18,1,BA,BA,BA
avocado_15,2023-03-18,1,BA,BA,BA
avocado_16,2023-03-18,1,BA,BA,BA
avocado_17,2023-03-18,1,BA,BA,NA
avocado_18,2023-03-18,1,BA,BA,NA
avocado_19,2023-03-18,1,BA,BA,NA
avocado_20,2023-03-18,1,BA,NA,NA
avocado_21,2023-03-18,1,BA,NA,NA
avocado_22,2023-03-18,1,BA,NA,NA
avocado_23,2023-03-18,1,BA,BA,NA
avocado_24,2023-03-18,1,BA,BA,BA
avocado_25,2023-03-18,1,BA,BA,BA
avocado_26,2023-03-18,1,BA,BA,BA
avocado_27,2023-03-18,1,BA,BA,BA
avocado_28,2023-03-18,1,BA,BA,BA
avocado_29,2023-03-18,1,BA,BA,BA
avocado_30,2023-03-18,1,BA,BA,BA
avocado_01,2022-04-01,1,ME,AL,BA
avocado_02,2022-04-01,1,BA,ME,NA
avocado_03,2022-04-01,1,BA,ME,NA
avocado_04,2022-04-01,1,AL,ME,BA
avocado_05,2022-04-01,1,AL,ME,ME
avocado_06,2022-04-01,1,ME,ME,BA
avocado_07,2022-04-01,1,BA,NA,NA
avocado_08,2022-04-01,1,BA,BA,BA
avocado_09,2022-04-01,1,BA,BA,AL
avocado_10,2022-04-01,1,ME,ME,ME
avocado_11,2022-04-01,1,ME,BA,BA
avocado_12,2022-04-01,1,BA,BA,BA
avocado_13,2022-04-01,1,ME,BA,BA
avocado_14,2022-04-01,1,ME,BA,NA
avocado_15,2022-04-01,1,BA,ME,NA
avocado_16,2022-04-01,0,NA,NA,NA
avocado_17,2022-04-01,0,NA,NA,NA
avocado_18,2022-04-01,1,BA,BA,NA
avocado_19,2022-04-01,1,ME,AL,BA
avocado_20,2022-04-01,1,ME,AL,NA
avocado_21,2022-04-01,1,BA,ME,NA
avocado_22,2022-04-01,1,BA,ME,BA
avocado_23,2022-04-01,1,BA,AL,NA
